brand,category,material,retailer,season,rating,discount_percent,original_price,current_price,date_scraped
Louis Philippe,Skirt,Synthetic,Westside,All-Season,4.2,60,2032.79,813.11,2025-10-24
HRX,Shirt,Cotton,Flipkart,Monsoon,4.0,0,1425.45,1425.45,2025-10-24
Allen Solly,Blazer,Silk,Max Fashion,Winter,4.7,15,4707.71,4001.56,2025-10-24
Vero Moda,Coat,Linen,Myntra,Winter,3.7,50,11751.63,5875.81,2025-10-24
Tommy Hilfiger,Coat,Polyester,Ajio,Spring,4.4,20,13217.24,10573.79,2025-10-24
Allen Solly,Blazer,Blend,Ajio,Monsoon,4.3,25,2732.64,2049.48,2025-10-24
Tommy Hilfiger,Polo,Polyester,Lifestyle,Summer,4.3,20,1729.64,1383.71,2025-10-24
Peter England,Pants,Denim,Reliance Trends,Spring,3.4,15,944.99,803.24,2025-10-24
Calvin Klein,Skirt,Synthetic,Myntra,Spring,4.4,15,1661.05,1411.89,2025-10-24
Marks & Spencer,Sweater,Denim,Ajio,Monsoon,4.4,25,2898.46,2173.85,2025-10-24
Breakbounce,Shirt,Wool,Westside,Spring,4.1,25,2737.77,2053.32,2025-10-24
Levi's,Blazer,Cotton,Shoppers Stop,Winter,4.0,40,10635.76,6381.45,2025-10-24
Marks & Spencer,Polo,Linen,Myntra,All-Season,4.4,0,3341.71,3341.71,2025-10-24
US Polo Assn,Blazer,Wool,Amazon India,Summer,3.8,20,2580.12,2064.1,2025-10-24
Marks & Spencer,Blazer,Synthetic,Flipkart,Monsoon,4.1,25,6412.93,4809.69,2025-10-24
Tommy Hilfiger,Coat,Blend,Max Fashion,Summer,4.4,60,27082.6,10833.04,2025-10-24
Levi's,Blazer,Synthetic,Lifestyle,Spring,4.6,15,3431.77,2917.0,2025-10-24
Roadster,Chinos,Leather,Reliance Trends,Monsoon,3.8,10,958.97,863.07,2025-10-24
Puma,Polo,Wool,Lifestyle,Winter,3.6,20,2941.29,2353.04,2025-10-24
AND,Sweater,Blend,Westside,All-Season,3.5,15,1582.34,1344.99,2025-10-24
Peter England,T-Shirt,Viscose,Max Fashion,All-Season,4.1,30,783.41,548.39,2025-10-24
Forever New,Skirt,Silk,Westside,Monsoon,4.1,15,2411.95,2050.16,2025-10-24
Puma,Jacket,Synthetic,Myntra,Winter,4.1,40,6544.9,3926.94,2025-10-24
Puma,Polo,Blend,Max Fashion,Summer,4.2,15,770.29,654.74,2025-10-24
Breakbounce,Jeans,Viscose,Reliance Trends,Summer,4.2,20,1644.82,1315.86,2025-10-24
Forever New,Hoodie,Linen,Max Fashion,All-Season,3.4,0,1004.91,1004.91,2025-10-24
HRX,Jacket,Wool,Reliance Trends,Winter,3.9,10,2648.79,2383.91,2025-10-24
Zara,Blazer,Viscose,Reliance Trends,All-Season,4.8,15,5240.38,4454.32,2025-10-24
Only,Shirt,Leather,Reliance Trends,Summer,4.0,25,2265.95,1699.46,2025-10-24
Adidas,Dress,Silk,Amazon India,Monsoon,3.5,70,20382.21,6114.66,2025-10-24
Forever New,Jeans,Cotton,Lifestyle,Summer,3.8,50,8679.56,4339.78,2025-10-24
Roadster,Blazer,Leather,Ajio,All-Season,3.4,0,1214.96,1214.96,2025-10-24
Roadster,Chinos,Denim,Amazon India,Spring,3.7,50,780.33,390.16,2025-10-24
Marks & Spencer,Skirt,Cotton,Shoppers Stop,All-Season,4.5,50,6042.63,3021.31,2025-10-24
Adidas,Jacket,Polyester,Ajio,Winter,4.0,15,6145.83,5223.96,2025-10-24
Raymond,Sweater,Wool,Shoppers Stop,All-Season,4.1,40,7333.33,4400.0,2025-10-24
H&M,Skirt,Polyester,Lifestyle,Monsoon,3.4,15,1538.21,1307.48,2025-10-24
Nike,Hoodie,Blend,Amazon India,All-Season,4.1,15,1789.23,1520.85,2025-10-24
Tommy Hilfiger,Jacket,Silk,Amazon India,All-Season,4.5,30,11417.3,7992.11,2025-10-24
Peter England,Jeans,Blend,Reliance Trends,Summer,4.0,30,2260.8,1582.56,2025-10-24
Forever New,Blazer,Synthetic,Ajio,All-Season,4.0,0,3026.45,3026.45,2025-10-24
US Polo Assn,Blazer,Blend,Amazon India,Winter,4.1,20,1511.51,1209.21,2025-10-24
Vero Moda,T-Shirt,Synthetic,Flipkart,All-Season,4.0,0,997.84,997.84,2025-10-24
Van Heusen,Jeans,Polyester,Reliance Trends,Spring,4.0,40,1248.49,749.1,2025-10-24
Roadster,Shirt,Synthetic,Westside,All-Season,3.8,20,963.24,770.59,2025-10-24
W for Woman,Skirt,Polyester,Max Fashion,Summer,3.7,15,902.0,766.7,2025-10-24
Calvin Klein,Sweater,Blend,Ajio,Spring,4.6,25,6321.99,4741.49,2025-10-24
