brand,category,product_name,material,retailer,season,rating,discount_percent,original_price,current_price,image_url,product_url,date_scraped
Tommy Hilfiger,Polo,Tommy Hilfiger Polo,Wool,Westside,All-Season,4.4,20,6967.65,5574.12,https://images.unsplash.com/photo-1586790170083-2f9ceadc732d?w=400,https://www.westside.com/search?q=Tommy+Hilfiger+Polo,2025-10-29
Being Human,T-Shirt,Being Human T-Shirt,Wool,Max Fashion,Summer,3.8,20,618.51,494.81,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400,https://www.maxfashion.in/in/en/search/?text=Being+Human+T-Shirt,2025-10-29
HRX,Blazer,HRX Blazer,Cotton,Westside,Spring,3.5,15,3065.31,2605.52,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=400,https://www.westside.com/search?q=HRX+Blazer,2025-10-29
H&M,Chinos,H&M Chinos,Silk,Ajio,Summer,4.1,30,1646.58,1152.61,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400,https://www.ajio.com/search/?text=H&M+Chinos,2025-10-29
Athena,Coat,Athena Coat,Silk,Amazon India,Summer,4.1,10,3637.61,3273.85,https://images.unsplash.com/photo-1539533018447-63fcce2678e3?w=400,https://www.amazon.in/s?k=Athena+Coat,2025-10-29
Van Heusen,Sweater,Van Heusen Sweater,Denim,Amazon India,Spring,4.0,25,1689.11,1266.83,https://images.unsplash.com/photo-1576566588028-4147f3842f27?w=400,https://www.amazon.in/s?k=Van+Heusen+Sweater,2025-10-29
Louis Philippe,Coat,Louis Philippe Coat,Blend,Amazon India,Winter,4.3,25,7486.05,5614.53,https://images.unsplash.com/photo-1539533018447-63fcce2678e3?w=400,https://www.amazon.in/s?k=Louis+Philippe+Coat,2025-10-29
Forever New,Pants,Forever New Pants,Polyester,Shoppers Stop,Winter,3.4,40,5772.38,3463.43,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400,https://www.shoppersstop.com/search?q=Forever+New+Pants,2025-10-29
Breakbounce,Pants,Breakbounce Pants,Denim,Westside,Spring,3.6,50,1717.47,858.74,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400,https://www.westside.com/search?q=Breakbounce+Pants,2025-10-29
Flying Machine,Sweater,Flying Machine Sweater,Viscose,Lifestyle,Monsoon,4.1,10,1509.09,1358.18,https://images.unsplash.com/photo-1576566588028-4147f3842f27?w=400,https://www.lifestylestores.com/in/en/search/?text=Flying+Machine+Sweater,2025-10-29
Calvin Klein,Dress,Calvin Klein Dress,Viscose,Flipkart,Summer,4.3,10,6846.13,6161.52,https://images.unsplash.com/photo-1595777457583-95e059d581b8?w=400,https://www.flipkart.com/search?q=Calvin+Klein+Dress,2025-10-29
H&M,Blazer,H&M Blazer,Blend,Reliance Trends,Spring,3.6,15,1188.69,1010.38,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=400,https://www.reliancetrends.com/search?q=H&M+Blazer,2025-10-29
Marks & Spencer,Polo,Marks & Spencer Polo,Cotton,Westside,Summer,4.7,20,4236.79,3389.43,https://images.unsplash.com/photo-1586790170083-2f9ceadc732d?w=400,https://www.westside.com/search?q=Marks+&+Spencer+Polo,2025-10-29
Forever New,Shirt,Forever New Shirt,Leather,Amazon India,All-Season,3.7,30,3006.37,2104.46,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?w=400,https://www.amazon.in/s?k=Forever+New+Shirt,2025-10-29
Levi's,Shirt,Levi's Shirt,Leather,Shoppers Stop,Winter,4.5,20,6386.77,5109.42,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?w=400,https://www.shoppersstop.com/search?q=Levi's+Shirt,2025-10-29
Zara,Chinos,Zara Chinos,Leather,Ajio,Winter,4.7,40,4009.04,2405.42,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400,https://www.ajio.com/search/?text=Zara+Chinos,2025-10-29
Nike,Blazer,Nike Blazer,Blend,Amazon India,All-Season,3.8,0,2029.16,2029.16,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=400,https://www.amazon.in/s?k=Nike+Blazer,2025-10-29
US Polo Assn,Hoodie,US Polo Assn Hoodie,Cotton,Lifestyle,Winter,3.7,15,2427.79,2063.63,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=400,https://www.lifestylestores.com/in/en/search/?text=US+Polo+Assn+Hoodie,2025-10-29
Tommy Hilfiger,Chinos,Tommy Hilfiger Chinos,Silk,Westside,Monsoon,4.8,30,11813.31,8269.32,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400,https://www.westside.com/search?q=Tommy+Hilfiger+Chinos,2025-10-29
Athena,Sweater,Athena Sweater,Viscose,Flipkart,Summer,3.4,30,1416.48,991.54,https://images.unsplash.com/photo-1576566588028-4147f3842f27?w=400,https://www.flipkart.com/search?q=Athena+Sweater,2025-10-29
Only,Shirt,Only Shirt,Viscose,Amazon India,Spring,3.8,0,704.69,704.69,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?w=400,https://www.amazon.in/s?k=Only+Shirt,2025-10-29
Vero Moda,Pants,Vero Moda Pants,Cotton,Lifestyle,Winter,3.9,30,4058.22,2840.75,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400,https://www.lifestylestores.com/in/en/search/?text=Vero+Moda+Pants,2025-10-29
Zara,Jeans,Zara Jeans,Linen,Ajio,All-Season,4.4,15,6112.28,5195.44,https://images.unsplash.com/photo-1542272604-787c3835535d?w=400,https://www.ajio.com/search/?text=Zara+Jeans,2025-10-29
Puma,Dress,Puma Dress,Wool,Reliance Trends,All-Season,3.6,30,2140.36,1498.25,https://images.unsplash.com/photo-1595777457583-95e059d581b8?w=400,https://www.reliancetrends.com/search?q=Puma+Dress,2025-10-29
HRX,Skirt,HRX Skirt,Linen,Reliance Trends,Monsoon,3.6,30,1765.05,1235.53,https://images.unsplash.com/photo-1583496661160-fb5886a0aaaa?w=400,https://www.reliancetrends.com/search?q=HRX+Skirt,2025-10-29
Breakbounce,Sweater,Breakbounce Sweater,Linen,Lifestyle,Winter,3.9,30,2458.34,1720.84,https://images.unsplash.com/photo-1576566588028-4147f3842f27?w=400,https://www.lifestylestores.com/in/en/search/?text=Breakbounce+Sweater,2025-10-29
Wrogn,Polo,Wrogn Polo,Cotton,Reliance Trends,Monsoon,3.6,60,1950.54,780.22,https://images.unsplash.com/photo-1586790170083-2f9ceadc732d?w=400,https://www.reliancetrends.com/search?q=Wrogn+Polo,2025-10-29
AND,Blazer,AND Blazer,Blend,Myntra,Spring,4.0,10,4883.47,4395.12,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=400,https://www.myntra.com/shop/AND+Blazer,2025-10-29
Only,Chinos,Only Chinos,Wool,Westside,Spring,4.2,20,3723.23,2978.58,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400,https://www.westside.com/search?q=Only+Chinos,2025-10-29
Breakbounce,Polo,Breakbounce Polo,Leather,Ajio,Summer,3.5,25,1920.11,1440.08,https://images.unsplash.com/photo-1586790170083-2f9ceadc732d?w=400,https://www.ajio.com/search/?text=Breakbounce+Polo,2025-10-29
